source,target,Weight,piece_count
"F:maj","G:5",51,4
"F:maj(9)","A:min7",51,3
"A:maj","A:7",50,13
"A:maj","C#:min",50,11
"A:sus4","A:maj",50,12
"Bb:maj","C:7",50,15
"C:maj","D:min7",50,13
"C:maj","G:7",50,12
"C:sus4","C:maj",50,9
"D:maj/3","G:maj",50,13
"Db:maj","Bb:min",50,9
"E:maj/b7","D:maj",50,2
"E:min9","E:min7",50,3
"G:maj","F:maj(9)",50,4
"G:maj","G:maj(9)",50,3
"Gb:maj","Eb:min",50,3
"A:min","D:min/5",49,1
"A:min7","E:min7",49,7
"B:maj","C#:maj",49,6
"C:maj","D:7",49,16
"F:min","G:min",49,5
"A:min/4","A:min",48,1
"A:min7/6","E:aug(b7)",48,1
"A:min7/b7","A:min7/6",48,1
"Bb:maj","C:sus4",48,4
"D:maj","A:maj/4",48,5
"D:maj7","C#:min7",48,6
"F:min","C:min",48,7
"G:maj(9)","A:maj",48,2
"G:min","Bb:maj",48,12
"G:min7","F:min7",48,6
"Gb:7","Db:min7",48,1
"A:min","A:min/b7",47,4
"Ab:maj","Bb:min7",47,2
"Ab:maj","Eb:7(#9)",47,2
"B:sus4(b7)","E:maj",47,3
"C#:min","E:maj",47,6
"C:maj(9)","G:maj",47,5
"C:min7","Bb:maj",47,3
"D:min","G:min",47,12
"E:maj/5","B:maj",47,4
"A:maj","F#:7",46,5
"A:maj","G:maj(9)",46,3
"Ab:7","Db:7",46,7
"B:min7","A:min7",46,5
"C:maj","A:maj",46,12
"D:maj/5","D:maj",46,7
"D:min","A:min",46,10
"E:maj","C#:min7",46,6
"E:sus4(b7,9)","E:maj",46,2
"F#:min","E:maj",46,14
"G:5","F:5",46,5
"A:min","D:7",45,7
"B:min","E:min7",45,4
"C:maj","F:min",45,5
"C:maj","G:maj/3",45,13
"D:maj(9)","D:maj/5",45,1
"Bb:maj","G:min7",44,10
"C#:1/1","F#:1/1",44,2
"D:min7","C:maj",44,9
"E:min","F:maj",44,12
"Ab:maj","F:min7",43,6
"Bb:maj","Bb:7",43,13
"C:sus4","Bb:maj",43,3
"D:min/5","A:min",43,1
"Eb:7(#9)","Gb:maj",43,1
"F:min7","G:min7",43,4
"G:1/1","A:1/1",43,5
"G:sus4(b7,9)","C:maj",43,3
"A:maj","G#:min",42,6
"Bb:sus2","C:sus4",42,1
"C#:min","B:maj",42,6
"C:min7","F:7",42,8
"D:maj","D:7",42,14
"D:maj","F:maj",42,8
"D:min7/5","G:maj/2",42,1
"Db:7","Gb:maj",42,9
"E:min","B:min",42,12
"E:min7","A:min7",42,7
"Eb:maj","G:min",42,5
"G:maj","Bb:maj",42,13
"G:maj/2","G:maj",42,1
"A:min/b7","A:min/6",41,2
"Ab:7","Eb:min7",41,4
"B:min","E:maj",41,10
"D:maj/2","E:min",41,4
"F:maj","A:min",41,9
"G:maj","D:maj/3",41,10
"B:maj","E:min",40,7
"C:maj","A:min(11)",40,1
"C:maj","D:sus4",40,5
"E:min7","E:min9",40,2
"F:maj","C:maj/3",40,10
"F:maj","C:sus4",40,1
"F:maj","G:sus4(b7,9)",40,3
"Gb:maj/5","Db:maj",40,2
"A:5","E:5",39,5
"Ab:maj7","G:min7",39,3
"B:min7","E:7",39,9
"B:min7","F#:min7",39,4
"F:5","G:5",39,5
"F:maj7","E:7",39,2
"G:maj","F:maj/2",39,5
"A:5","B:5",38,4
"A:maj(9)","D:min6/5",38,1
"Ab:maj","Ab:sus4(b7,9)",38,2
"Ab:maj","Eb:7",38,9
"Ab:maj","Gb:maj/5",38,1
"B:1/1","A:1/1",38,4
"B:min7","G:maj7",38,5
"Bb:maj","Ab:maj",38,14
"C:maj(9)","D:min/b3",38,1
"D:5","C:5",38,4
"D:maj/b7","D:maj",38,2
"D:min/b3","F:maj",38,1
"E:5(b7)","F:5",38,1
"E:maj6(9)","F#:sus4(b7,9)",38,1
"F:7","Bb:maj7",38,5
"F:maj","C:maj(9)",38,2
"F:maj/3","Bb:sus2",38,1
"G:maj","A:7",38,10
"A:maj","B:sus4",37,3
"A:maj","B:sus4(b7)",37,2
"A:min","Bb:maj",37,8
"A:min(11)","C:maj",37,1
"Bb:min7","Eb:7",37,9
"Bb:min7","Eb:min7",37,4
"E:1/1","G:1/1",37,2
"E:min7","D:maj",37,7
"E:min7","D:min7",37,9
"G:maj9","D:maj",37,3
"A:maj","B:7",36,15
"A:min/6","F:maj7",36,1
"A:min9","A:min7/b7",36,1
"Ab:maj","Ab:maj6",36,3
"Ab:sus4(b7,9)","Ab:maj",36,2
"D:maj","A:sus4(b7)",36,4
"D:min7","G:maj",36,8
"E:aug(b7)","A:min9",36,1
"E:maj","E:sus4(b7,9)",36,1
"Eb:7","Ab:7",36,8
"A:min7","D:maj",35,7
"C:maj","B:min",35,7
"C:maj/3","F:maj",35,6
"G#:min7","C#:min7",35,3
"G:min7","C:min7",35,5
"A:maj","A:maj/3",34,2
"A:maj","E:7(#9)",34,2
"Ab:maj","Eb:maj/3",34,6
"Bb:maj","Eb:maj/5",34,7
"Bb:maj/2","C:maj",34,2
"Bb:min7","Gb:maj",34,1
"C:maj","B:maj",34,8
"D:7","C:7",34,5
"D:min6/5","A:maj(9)",34,1
"F#:7","B:min",34,8
"F#:min","B:maj",34,11
"F#:min7","E:maj",34,3
"G:maj","C:min",34,6
"G:maj","E:maj",34,9
"G:maj","G:7",34,11
"A:maj","E:min",33,10
"A:maj/2","E:min9",33,1
"C#:min","F#:maj",33,8
"C:maj","C:maj7",33,6
"D:min","A:min7",33,3
"D:min7","E:min7",33,8
"Eb:maj/5","Bb:maj",33,7
"F#:7","B:min7",33,6
"F:maj","A:min7",33,10
"G:1/1","Bb:1/1",33,2
"G:maj7","E:min7",33,4
"A:maj","F:maj",32,9
"A:min(9)","A:min/b3",32,1
"A:min/b3","G:maj",32,1
"A:sus4(b7)","A:7",32,7
"B:min","F#:min",32,7
"Bb:min","Eb:maj",32,8
"D:maj","D:sus4",32,7
"E:7(#9)","E:maj(#9)",32,1
"E:maj","D:maj/5",32,4
"E:maj(#9)","G:maj",32,1
"G:7","D:min7",32,5
"G:7","F:maj",32,9
"G:maj","E:min7",32,8
"A:7","D:7",31,11
"A:maj","A:min7",31,2
"A:min","B:min",31,4
"Ab:maj/3","Bb:maj/2",31,1
"B:maj","B:7",31,7
"Bb:1/1","Eb:1/1",31,3
"Bb:maj","D:min7",31,8
"Bb:maj","F:maj/4",31,3
"C:7","Bb:7",31,4
"C:maj","E:maj",31,7
"C:min","F:7",31,5
"Eb:min7","Ab:maj",31,5
"F#:maj","C#:maj",31,7
"F#:min","B:min",31,9
"F:5","E:5(b7)",31,1
"F:maj/2","G:maj",31,6
"A:min7","B:min/b7",30,1
"Ab:1/1","Gb:maj",30,2
"Ab:maj","Bb:min",30,7
"B:maj/4","E:maj",30,3
"C#:min","G#:min",30,5
"C#:min7","B:min7",30,2
"C:1/1","G:1/1",30,4
"D:maj","A:maj/3",30,9
"D:maj","Bb:maj",30,7
"D:maj","D:maj/2",30,3
"D:maj/6","D:maj/5",30,3
"Db:maj","Ab:maj/3",30,3
"E:min9","A:maj/2",30,1
"Eb:maj","F:min",30,10
"F#:maj","A:maj",30,6
"G:maj/3","C:maj",30,9
"A:7","D:min",29,5
"B:min7","E:maj",29,7
"Bb:maj/2","C:min",29,1
"D:maj","B:min7",29,6
"D:maj","C:maj/2",29,3
"E:min","A:min(9)",29,1
"E:min","A:sus4(b7,9)",29,4
"Eb:1/1","Ab:1/1",29,1
"G#:min","C#:min",29,5
"G:min7","F:maj",29,9
"Gb:maj","Eb:1/1",29,1
"Ab:maj/3","Db:maj",28,3
"B:min","D:maj/5",28,5
"Bb:maj","F:min7",28,3
"Bb:maj/5","C:maj/4",28,3
"Bb:sus4","Bb:maj",28,5
"C:maj","B:7",28,4
"C:maj","C:min/b3",28,1
"C:maj","E:min7",28,6
"C:maj","G:min",28,7
"C:min","Ab:maj/3",28,2
"C:min/b3","G:min",28,1
"D#:min7","G#:min7",28,1
"D:7","A:7",28,4
"D:7","G:min",28,9
"D:maj/5","G:maj",28,6
"D:min","E:min7",28,2
"E:min","A:min7",28,5
"Eb:1/1","C:1/1",28,2
"Eb:sus4","Eb:maj",28,7
"F:maj","C:7",28,8
"A:5","C:5",27,2
"A:5","F:maj",27,3
"A:maj","C#:min7",27,6
"A:min","E:min",27,12
"A:min","E:min7",27,3
"Ab:maj","C:min7",27,2
"B:7","A:maj",27,6
"B:maj","E:maj/5",27,3
"B:min","G:maj7",27,4
"C:7","Bb:maj",27,4
"C:maj","F:5(b7)",27,1
"C:maj7","B:min7",27,3
"D:1/1","A:1/1",27,5
"D:maj","B:7",27,3
"D:maj/7","D:maj/6",27,2
"D:maj/7","F#:min",27,1
"D:min7","F:maj",27,8
"Db:maj","Db:7",27,9
"E:maj","E:maj/3",27,2
"E:min","D:maj/2",27,2
"E:sus4(b7)","A:maj",27,4
"Eb:maj","F:7",27,8
"F:maj","F:min",27,9
"F:maj","G:sus4",27,5
"G:5","C:5",27,2
"G:min7/2","C:7/6",27,1
"A:maj","D:maj/3",26,4
"A:maj","E:1/1",26,4
"B:5","G:5",26,2
"B:maj","G#:min",26,5
"B:maj","G#:min7",26,4
"B:min","B:min7",26,4
"B:min7","G:maj9",26,1
"Bb:min","C:min",26,2
"C:5","A:5",26,2
"C:maj9","B:min7",26,2
"C:min7","Bb:min7",26,2
"D:1/1","E:1/1",26,4
"D:maj","E:7",26,9
"E:min7","F:maj7",26,5
"F:5(b7)","C:maj",26,1
"F:maj/2","C:maj",26,3
"G#:min","F#:min",26,4
"G:7","E:7",26,2
"A:5","D:5",25,2
"A:min7","D:7",25,5
"A:min7","F:maj",25,5
"A:sus2","A:maj",25,1
"B:maj","G:maj",25,6
"Bb:maj","Eb:7/5",25,1
"C#:min","F#:min",25,5
"C:maj","C:sus4",25,6
"C:maj","G:min7",25,6
"C:min","G:maj",25,6
"D:7","C:maj",25,6
"D:7","G:maj7",25,4
"D:maj/2","F#:min",25,1
"D:min","C:maj/2",25,4
"D:min7","G:min7",25,5
"Db:maj","Eb:7",25,5
"E:maj","F#:7",25,4
"Eb:min7","Ab:min7",25,3
"F#:min","E:min",25,4
"F:7(#9)","Bb:min",25,1
"G:5","D:5",25,5
"A:7","B:7",24,5
"A:7","E:7",24,6
"A:maj/2","E:maj",24,1
"A:maj/6","A:maj/5",24,3
"A:sus4(b7)","B:min7",24,1
"Ab:7","Ab:9",24,2
"Ab:7","Gb:7",24,5
"Ab:maj7","Bb:maj",24,1
"B:min","A:min",24,7
"Bb:min7","Db:maj/2",24,2
"C:maj","F:maj6",24,1
"C:min","Ab:maj7",24,4
"D:sus4","E:min",24,1
"E:maj","G#:min",24,4
"E:maj/4","A:maj",24,3
"F:5","C:5",24,4
"F:maj/3","G:min7",24,6
"F:maj6","G:7",24,1
"G:7","C:min",24,5
"G:maj","F#:min",24,7
"G:min7","C:7",24,8
"A:7","E:min7",23,4
"A:min","E:7",23,7
"Ab:maj/5","Gb:maj/2",23,1
"B:maj","F#:7",23,4
"Bb:maj","F:min9",23,1
"C#:min","G#:maj",23,3
"C:7","G:maj",23,5
"C:maj","Bb:maj6(9)",23,1
"D:maj","D:maj/5",23,5
"Db:maj7","Db:maj6",23,3
"E:1/1","A:maj",23,2
"E:1/1","D:1/1",23,5
"E:maj/3","F#:min",23,3
"E:min","F#:min/b7",23,2
"E:min","G:maj(9)/5",23,1
"Eb:7/5","Bb:maj",23,1
"F#:min7","G:maj",23,2
"F:maj","E:maj",23,7
"F:min","C:maj",23,8
"G#:maj","C#:maj",23,4
"G:5","Bb:maj",23,4
"G:maj(9)/5","C:maj",23,1
"G:min","D:maj",23,5
"G:min","D:min",23,6
"Gb:maj","Ab:maj/5",23,1
"A:maj","D:min/5",22,3
"A:maj","E:maj/4",22,3
"A:maj9","B:min7",22,1
"A:min7","Bb:maj7",22,5
"Ab:11","F:7",22,1
"B:7","E:maj7",22,6
"B:min7","A:maj7",22,1
"B:min7","D:maj/2",22,2
"C:maj/3","D:min",22,5
"C:maj7","C:maj",22,1
"C:min","Eb:maj",22,4
"C:min","F:7(#9)",22,1
"D:maj/5","G:maj7",22,2
"D:min","D:min7/5",22,2
"D:min/b3","G:7",22,1
"Db:maj","F:min",22,6
"Db:maj/2","Ab:maj",22,1
"E:7","B:maj",22,5
"E:maj","A:min",22,6
"E:maj7","C#:min7",22,5
"E:min/b7","D:min7",22,2
"E:min7","A:min",22,6
"Eb:maj","C:maj",22,5
"F#:1/1","C#:1/1",22,1
"F#:min","B:7",22,5
"F#:min7","E:maj/3",22,3
"F:maj","D:min/b3",22,1
"F:maj(9)","C:maj",22,3
"F:min9","Ab:maj7",22,1
"G#:maj","C#:min",22,4
"G#:min7","A:maj",22,4
"G#:min7","F#:min7",22,4
"G:maj","A:min7",22,6
"G:maj","D:maj/5",22,5
"G:maj","F#:min7",22,4
"G:maj","G:maj7",22,1
"G:min7","Bb:maj",22,2
"A:11","E:maj",21,1
"A:5","E:maj",21,2
"A:maj7","D:maj7",21,2
"A:sus4(b7)","A:maj",21,4
"Ab:min","Db:maj",21,1
"B:maj","C:maj",21,8
"Bb:maj","A:maj",21,8
"Bb:maj","G:7",21,5
"C#:5","B:5",21,2
"C#:7","F#:min",21,3
"C:maj/2","D:maj",21,2
"C:min","Bb:maj",21,8
"C:min7","F:maj",21,5
"D:maj","D:maj/3",21,6
"D:maj","E:maj/3",21,1
"D:min","G:7",21,6
"D:min7","D:min7/5",21,1
"Db:maj6","Db:maj7",21,2
"E:1/1","E:maj",21,3
"E:7","B:7",21,4
"E:maj","E:1/1",21,4
"E:min","B:min7",21,2
"Eb:maj","Bb:maj/3",21,10
"Eb:maj","G:maj",21,9
"Eb:min/5","Bb:maj",21,3
"F#:min","C#:7",21,3
"F:min","Eb:maj",21,6
"F:min7","Ab:maj",21,1
"G:min","C:min7",21,5
"G:sus4(b7)","G:7",21,8
"Gb:maj","F:maj",21,2
"Gb:maj/2","Db:maj",21,3
"A:1/1","B:1/1",20,3
"A:maj","A:sus4",20,7
"A:min7","D:min",20,7
"A:sus4(b7)","D:maj",20,4
"Ab:min7","Db:maj",20,3
"B:maj9","Bb:maj6/5",20,1
"B:min/b7","A:maj",20,1
"Bb:1/1","Gb:1/1",20,2
"Bb:maj","C:min7",20,6
"Bb:maj/7","C:maj",20,1
"Bb:maj6/5","E:maj6(9)",20,1
"Bb:maj7","Eb:min9",20,1
"Bb:maj9","C:min7",20,2
"Bb:min","Ab:maj",20,7
"C#:min","D:maj",20,6
"C:maj","Ab:maj",20,8
"C:maj","Bb:maj/2",20,3
"C:maj7","D:maj6",20,1
"C:min","Db:maj",20,4
"C:sus2/2","D:5",20,1
"C:sus4","G:7",20,2
"D:maj/3","E:maj",20,4
"D:min","D:min/5",20,2
"D:min/5","A:maj",20,5
"D:min7/b3","A:min",20,1
"Db:maj","Db:maj6",20,1
"E:5","G:5",20,1
"E:maj","E:7/b7",20,2
"E:min","A:7",20,7
"E:min7","D:min7/b3",20,1
"Eb:min9","Gb:maj7",20,1
"F#:maj","G#:maj",20,3
"F#:min7","G#:min7",20,3
"F#:sus4(b7)","F#:7",20,6
"F:min/5","C:maj",20,5
"F:min7","C:min7",20,2
"G:7","A:min7",20,2
"G:maj","G:maj/3",20,8
"G:maj7","C:maj13",20,1
"G:min7","Bb:maj/7",20,1
"G:min7","C:min",20,2
"G:sus4","F:sus4",20,1
"Gb:1/1","Ab:1/1",20,2
"A:maj","A:maj7/7",19,2
"A:maj7","C#:min",19,2
"A:sus4(b7,9)","D:maj",19,4
"Ab:1/1","Bb:1/1",19,3
"B:5","C#:5",19,1
"B:maj","E:maj/3",19,3
"B:min7","D:maj",19,7
"B:min7","E:min",19,4
"Bb:maj","A:min",19,9
"C:maj","G:maj/4",19,5
"C:maj/2","G:maj",19,3
"D:maj","A:min7",19,3
"D:maj","D:min",19,4
"D:min","C:maj/3",19,4
"D:min6","D:min7",19,3
"E:maj/3","D:maj/3",19,2
"Eb:maj","Ab:7",19,4
"F#:1/1","B:1/1",19,3
"F#:7","B:7",19,5
"F:maj","Ab:maj",19,8
"F:maj","D:min7",19,7
"F:min7","Bb:min7",19,5
"G#:min","A:maj7",19,1
"G:maj","B:maj",19,4
"G:maj","Eb:maj",19,5
"G:maj7","C:maj",19,1
"A:5","G:5",18,3
"A:maj","A:maj/5",18,2
"A:maj","A:maj/6",18,1
"A:maj/5","A:maj/4",18,1
"A:maj/5","B:maj/4",18,2
"A:maj9","C:maj7",18,1
"A:min7","F:maj7",18,2
"B:7","A:7",18,4
"B:maj","Db:maj",18,4
"B:min7","A:maj9",18,1
"Bb:7","Ab:7",18,4
"Bb:maj6(9)","C:maj",18,1
"Bb:min","Db:maj",18,3
"C#:maj","G#:maj",18,1
"C#:min7","A:maj9",18,1
"C:7","F:maj7",18,8
"C:maj(9)","D:maj",18,2
"C:maj/4","F:maj",18,1
"C:maj7","D:min7",18,3
"D#:min7","E:maj7",18,1
"D:maj","A:sus4",18,2
"D:min7","C:maj/3",18,2
"D:sus2","D:maj",18,2
"Db:maj","F:min7",18,3
"Db:maj7","Eb:min7",18,2
"E:7","F:maj",18,8
"E:maj","A:7",18,6
"E:maj7","D#:min7",18,1
"E:min","D:min",18,5
"E:min","F#:min",18,6
"E:min7","B:min",18,2
"E:min7","F:maj",18,5
"E:min7","G:maj",18,6
"Eb:7","Ab:min",18,2
"Eb:maj/5","C:min7",18,1
"F#:min/b3","B:min",18,1
"F:maj","C:maj/4",18,2
"F:maj7","C:maj",18,4
"F:maj7","C:maj7",18,3
"F:min7","C:min",18,3
"F:sus2","F:sus4",18,1
"F:sus4(b7,9)","Bb:maj",18,1
"G#:maj","F#:maj",18,1
"G#:sus4(b7,9)","G#:min7",18,1
"G:maj","A:maj/3",18,1
"G:maj","D:5",18,3
"A:maj","A:sus2",17,1
"A:maj/4","A:maj",17,1
"A:maj7","G#:min7",17,3
"A:min7","C:maj7",17,1
"A:min7","G:min7",17,4
"Ab:7","Db:maj7",17,5
"Ab:9","Ab:7",17,1
"Ab:maj","Ab:7",17,5
"Ab:maj","Bb:7",17,4
"Ab:maj","C:min",17,4
"Ab:maj","Eb:maj/4",17,3
"Ab:maj6","Ab:maj",17,2
"Bb:maj","Gb:maj",17,3
"Bb:maj7","G:min7",17,4
"Bb:min","Ab:maj/3",17,2
"Bb:min","Eb:sus4",17,2
"C#:min7","D:maj",17,4
"C:5","Eb:5",17,2
"C:5","F:5",17,4
"C:7","C:maj",17,8
"C:maj","F:maj/2",17,2
"C:maj(9)","A:min7",17,3
"C:maj/2","D:maj/2",17,1
"C:maj/5","D:maj/4",17,4
"C:maj7","C:maj/2",17,1
"C:min","F:min7",17,3
"C:min7","Bb:maj9",17,1
"Cb:maj7(#11)","Db:11",17,1
"D:5","C:sus2/2",17,1
"D:7","C:sus4",17,1
"D:maj6","C:maj7",17,1
"D:maj7","D:maj6",17,3
"D:min/5","D:min",17,1
"D:min7","D:min",17,7
"Db:maj","C:maj",17,4
"Db:maj6(9)","Gb:maj6",17,1
"E:1/1","F#:1/1",17,2
"E:5","A:5",17,2
"E:7","G:7",17,1
"E:maj","E:maj/5",17,2
"E:maj/3","C:maj",17,1
"E:min7","A:sus4(b7)",17,6
"E:min7","B:min7",17,2
"E:sus4","E:maj",17,8
"Eb:maj","G:min7",17,2
"F#:maj","E:maj/3",17,3
"F#:min/b7","G:maj/6",17,1
"F#:sus4(b7,9)","C:maj9",17,1
"F:maj","Bb:min",17,2
"F:maj/4","C:min7",17,1
"F:maj6","C:maj",17,3
"F:maj7","F:maj6",17,2
"G:maj","C:maj(9)",17,4
"G:maj","G:sus4(b7,9)",17,2
"G:maj/6","F#:min/b7",17,1
"G:maj7","G:min7",17,1
"G:min7","G:min7/4",17,3
"Gb:maj6","Db:maj6(9)",17,1
"Gb:maj7","Ab:11",17,1
"A:7","E:maj",16,4
"A:maj","A:maj/2",16,1
"A:maj","E:11",16,1
"A:maj","F#:maj",16,7
"A:maj(9)/3","C:maj7",16,1
"A:maj/5","A:sus4/5",16,1
"A:maj7/7","F#:min",16,2
"A:sus4","D:maj",16,2
"A:sus4/5","A:maj/5",16,1
"Ab:maj","Ab:maj/2",16,1
"Ab:maj","Ab:min",16,3
"B:1/1","E:1/1",16,2
"B:min7","F#:min",16,1
"Bb:maj","Ab:maj7",16,1
"Bb:sus4(b7,9)","Eb:maj7",16,4
"C#:min7","B:maj6",16,1
"C#:min7","D#:min7",16,1
"C:maj","D:sus4(b7)",16,3
"C:maj","F:min/5",16,5
"C:maj/3","C:maj/5",16,2
"C:maj9","B:maj9",16,1
"C:min7","Bb:maj/3",16,4
"C:min7","Eb:min9",16,1
"D:5","F:maj",16,1
"D:maj","E:sus4(b7)",16,1
